symbol,timeframe,lookback,threshold,atr_mult,trend_filter,session_window,trades,win_rate,expectancy,total_R
ES,4h,48,0.01,3.0,off,all_hours,106,51.9,0.038,4.03
ES,4h,48,0.01,3.0,on,all_hours,77,51.9,0.039,3.0
ES,4h,48,0.01,3.5,off,all_hours,94,50.0,0.0,0.0
ES,4h,48,0.01,3.5,on,all_hours,69,49.3,-0.014,-0.97
ES,4h,48,0.015,2.0,off,all_hours,136,47.1,-0.059,-8.02
ES,4h,48,0.015,2.0,on,all_hours,104,48.1,-0.038,-3.95
ES,4h,48,0.015,2.5,off,all_hours,113,47.8,-0.044,-4.97
ES,4h,48,0.015,2.5,on,all_hours,92,48.9,-0.022,-2.02
ES,4h,48,0.015,3.0,off,all_hours,96,47.9,-0.042,-4.03
ES,4h,48,0.015,3.0,on,all_hours,78,53.8,0.077,6.01
ES,4h,48,0.015,3.5,off,all_hours,84,47.6,-0.048,-4.03
ES,4h,48,0.015,3.5,on,all_hours,69,50.7,0.014,0.97
ES,4h,48,0.02,2.0,off,all_hours,115,49.6,-0.009,-1.03
ES,4h,48,0.02,2.0,on,all_hours,94,52.1,0.043,4.04
ES,4h,48,0.02,2.5,off,all_hours,97,45.4,-0.093,-9.02
ES,4h,48,0.02,2.5,on,all_hours,83,50.6,0.012,1.0
ES,4h,48,0.02,3.0,off,all_hours,86,48.8,-0.023,-1.98
ES,4h,48,0.02,3.0,on,all_hours,73,53.4,0.068,4.96
ES,4h,48,0.02,3.5,off,all_hours,81,45.7,-0.086,-6.97
ES,4h,48,0.02,3.5,on,all_hours,68,50.0,0.0,0.0
ES,4h,48,0.025,2.0,off,all_hours,91,51.6,0.033,3.0
ES,4h,48,0.025,2.0,on,all_hours,82,51.2,0.024,1.97
ES,4h,48,0.025,2.5,off,all_hours,78,50.0,0.0,0.0
ES,4h,48,0.025,2.5,on,all_hours,72,51.4,0.028,2.02
ES,4h,48,0.025,3.0,off,all_hours,71,43.7,-0.127,-9.02
ES,4h,48,0.025,3.0,on,all_hours,66,47.0,-0.061,-4.03
ES,4h,48,0.025,3.5,off,all_hours,67,41.8,-0.164,-10.99
ES,4h,48,0.025,3.5,on,all_hours,62,45.2,-0.097,-6.01
ES,4h,48,0.03,2.0,off,all_hours,67,50.7,0.015,1.0
ES,4h,48,0.03,2.0,on,all_hours,64,50.0,0.0,0.0
ES,4h,48,0.03,2.5,off,all_hours,59,50.8,0.017,1.0
ES,4h,48,0.03,2.5,on,all_hours,57,52.6,0.053,3.02
ES,4h,48,0.03,3.0,off,all_hours,57,43.9,-0.123,-7.01
ES,4h,48,0.03,3.0,on,all_hours,55,47.3,-0.055,-3.02
ES,4h,48,0.03,3.5,off,all_hours,56,44.6,-0.107,-5.99
ES,4h,48,0.03,3.5,on,all_hours,55,49.1,-0.018,-0.99
ES,1d,12,0.01,2.0,off,all_hours,67,53.7,0.075,5.02
ES,1d,12,0.01,2.5,off,all_hours,54,50.0,0.0,0.0
ES,1d,12,0.01,3.0,off,all_hours,42,47.6,-0.048,-2.02
ES,1d,12,0.01,3.5,off,all_hours,33,45.5,-0.091,-3.0
ES,1d,12,0.015,2.0,off,all_hours,72,48.6,-0.028,-2.02
ES,1d,12,0.015,2.5,off,all_hours,53,41.5,-0.17,-9.01
ES,1d,12,0.015,3.0,off,all_hours,44,43.2,-0.136,-5.98
